Asset Name,Display Name,Type,"Blurb (one line, shown under the button)",Hour Cost,First Day,Last Day (0=open),Drop Weight,Pool Weight (-1=inherit),Once Per Run,Guaranteed,Is Boss,Enemies / Session,Requirements (hard gate),Boost If,Boost x,Notes
Headquarters,Headquarters,Event,End the day and take stock.,0,1,0,1,1,FALSE,TRUE,FALSE,,,,2,Existing asset. Row is here to fix its blank display name and zero drop weight.
Enc_PlazaOpener,Hecklers at the Plaza,Battle,A knot of paid hecklers is working the crowd before you even speak.,1,1,1,3,-1,TRUE,TRUE,FALSE,2x Heckler; 1x Swing Voter,,,2,Guaranteed day-1 opener so every run starts on a fight.
Enc_FinalDebate,The Final Debate,Battle,"One stage, one hour, and everyone you have ever lied to is watching.",2,7,7,5,-1,TRUE,TRUE,TRUE,1x Spin Doctor; 2x Loyal Partisan,,,2,Guaranteed day-7 boss. The week needs an ending.
Enc_BarangayCaptain,Coffee with the Captain,Event,He runs six thousand votes and wants you to know it.,1,1,3,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_RadioSlot,The Morning Radio Slot,Event,"Ninety seconds of airtime, unedited, at six in the morning.",1,1,3,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_TricycleFleet,The Tricycle Federation,Event,Four hundred drivers and a sticker budget.,1,1,3,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_OldTeacher,Your Old Teacher,Event,She remembers what you said you would become.,1,1,2,2,-1,TRUE,FALSE,FALSE,,,,2,Low weight and a tight window: a rare early beat.
Enc_MarketWalk,The Market Walk,Event,Handshakes and fish. Mostly fish.,1,1,4,3,-1,FALSE,FALSE,FALSE,,,,2,Repeatable filler so early days are never bare.
Enc_RibbonCutting,A Ribbon and a Camera,Event,The building is not finished. The ribbon is.,1,1,4,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_ChurchEndorse,The Bishop Will See You,Battle,He does not ask for money. He asks for positions.,2,1,4,2,-1,TRUE,FALSE,FALSE,1x The Bishop,,,2,
Enc_StudentForum,The Student Forum,Battle,They have read your voting record and printed it.,1,1,4,2,-1,TRUE,FALSE,FALSE,2x Curious Student,,,2,
Enc_DonorLunch,Lunch with the Donor,Event,He orders for the table and talks about permits.,1,2,5,3,-1,TRUE,FALSE,FALSE,,,,2,
Enc_TrollFarm,The Boys in the Basement,Event,Two hundred accounts and a rate card.,1,2,5,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_RivalTruce,Your Rival Calls,Event,"He proposes a truce, which means he is losing.",1,2,5,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_FloodRelief,Relief Goods,Event,The bags have your face on them. The water is still rising.,1,2,5,3,-1,TRUE,FALSE,FALSE,,,,2,
Enc_JournalistCall,The Reporter Has Questions,Battle,She has the documents and forty minutes.,1,2,5,2,-1,TRUE,FALSE,FALSE,1x Spin Doctor,,,2,
Enc_FiestaSponsor,Sponsor the Fiesta,Event,A tarpaulin the size of a house.,1,3,6,3,-1,TRUE,FALSE,FALSE,,,,2,
Enc_UnionHall,The Union Hall,Event,They want it in writing. In front of everyone.,2,3,6,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_LeakedAudio,Someone Recorded You,Event,It is thirty seconds long and it is definitely you.,1,3,6,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_CousinFavor,Your Cousin Needs a Favour,Event,It is a small favour. It is never a small favour.,1,3,6,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_StreetMachine,The Machine Wants In,Battle,They deliver turnout. They also deliver bills.,2,3,6,2,-1,TRUE,FALSE,FALSE,1x The Fixer; 2x Loyal Partisan,,,2,
Enc_AuditLetter,A Letter from the Auditor,Event,Three years of receipts and a deadline.,1,4,7,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_SurveyDrop,The Numbers Slip,Event,Four points overnight and nobody will say why.,1,4,7,3,-1,TRUE,FALSE,FALSE,,,,2,
Enc_OldPhoto,The Photograph Resurfaces,Event,You are in it. So is he. That is the problem.,1,4,7,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_LastPlea,The Family Sits You Down,Event,They are not asking about the campaign.,1,5,7,2,-1,TRUE,FALSE,FALSE,,,,2,
Enc_MidnightDeal,Midnight at the Compound,Battle,The gate opens before you knock.,2,5,7,2,-1,TRUE,FALSE,FALSE,1x The Fixer,,,2,
Enc_RallyClosing,The Closing Rally,Battle,Everything you have left in one square.,2,5,7,3,-1,TRUE,FALSE,FALSE,1x Firebrand; 2x Heckler,,,2,
Enc_HouseToHouse,House to House,Event,Slow and boring and it works.,1,1,0,2,-1,FALSE,FALSE,FALSE,,,,2,Always available and repeatable — the floor under thin days.
Enc_PhoneBank,The Phone Bank,Event,Volunteers and a list of numbers.,1,1,0,2,-1,FALSE,FALSE,FALSE,,,,2,Always available and repeatable.
Enc_QuietHour,An Hour to Yourself,Event,Nobody wants anything from you for sixty minutes.,0,2,0,1,-1,FALSE,FALSE,FALSE,,,,2,Zero hour cost — tests whether free options distort the time budget.
